id;peso;diametro;altura
1;13.73;4.7;5
2;14.58;5.3;5.6
3;15.88;4.8;5.8
4;8.99;3.2;4.3
5;6.99;2.2;3.3
6;19.34;6.3;7.9
7;21.44;6.6;8.3
8;13.81;5.3;7.3
9;11.88;4.9;6.7
10;16.62;5.9;7.1
11;7.03;2.5;3.7
12;15.83;4.7;5.7
13;7.47;2.2;3.5
14;7.87;3.1;4
15;11.04;3.7;4.6
16;20.41;6.5;7.6
17;20.06;6.4;8
18;18.69;6.3;8.1
19;12;4.9;7
20;10.69;4.6;6.5
21;14.09;4.2;5.2
22;10.33;3.6;4.6
23;18.16;5.6;6.2
24;13.61;4.6;5.5
25;9.93;3.5;4.3
26;12.07;5;6.4
27;9.89;4.3;6.3
28;6.98;3;4.8
29;14.44;5.5;7.4
30;8.73;4;5.3
31;16.24;5.8;8.1
32;16.08;5.9;7.5
33;23.82;7.1;9.3
34;30.83;7.9;10.9
35;26.38;7.1;9.2
36;9.97;3.7;4.4
37;17.01;5.4;6.2
38;14.75;5.1;5.5
39;20.75;6.2;6.8
40;5.98;2.5;3.5
41;25.24;6.6;8.6
42;19.81;6.9;8.1
43;32.44;7.9;9.4
44;32.69;7.8;10
45;16.94;5.4;8
46;19.02;6;6
47;14.99;5.2;5.8
48;22.01;6.5;7
49;20.24;6.4;7.4
50;20.06;6;6.6
51;30.51;7.2;9.4
52;33.42;7.7;10.1
53;45.41;8.7;9.6
54;37.74;8.2;10.5
55;47.87;8.8;11.3
56;12.95;4.8;5.5
57;17.71;5.8;6
58;22.75;6.6;6.1
59;23.02;6.8;7.5
60;14.03;5;5.7
61;13.98;4.7;5.8
62;24.47;6;7.2
63;22.82;6.7;7.8
64;21.8;6.8;7.3
65;18.12;5.9;7.7
66;22.85;6;7.3
67;23.14;6;7.5
68;27.33;6.4;8
69;29.16;7;8.3
70;17.26;5.2;6.5
71;34.38;7;8.8
72;27.87;6.7;8.3
73;27.45;6.8;7.2
74;31.16;6.7;8.5
75;23.35;5.9;7.5
76;14.52;4.4;4.9
77;13.01;4.2;4.8
78;16.19;4.7;5.6
79;18.67;5.3;6
80;13.23;4.4;4.6
81;14.03;4.2;4.7
82;13.3;3.8;4.3
83;17.96;5.3;5.8
84;18.67;5.2;6
85;13.34;3.5;5
86;15.4;4.1;4.6
87;14.91;3.9;4.8
88;17.73;5;5.2
89;21.12;5.4;6
90;18.49;4.5;5.1
